Index,Anomaly Type,Instance,Clusters
81,Cluster drift Anomaly,1769,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.345, 'acceleration': 0.233}}"
82,Cluster drift Anomaly,1793,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.44, 'acceleration': 0.234}}"
83,Cluster drift Anomaly,1796,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.375, 'acceleration': 0.203}}"
84,Cluster drift Anomaly,1821,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.301, 'acceleration': 0.096}}"
85,Cluster drift Anomaly,1840,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.589, 'acceleration': 0.25}}"
86,Cluster drift Anomaly,1875,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.307, 'acceleration': 0.148}}"
87,Cluster drift Anomaly,1896,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.362, 'acceleration': 0.291}}"
88,Cluster drift Anomaly,1917,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.474, 'acceleration': 0.272}}"
89,Cluster drift Anomaly,1920,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.325, 'acceleration': 0.252}}"
90,Cluster drift Anomaly,1950,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.343, 'acceleration': 0.252}}"
91,Cluster drift Anomaly,1955,"{0: {'centroid': [621.461, -929.723, 208.817, -234.728, 337.94], 'velocity': 1.374, 'acceleration': 0.246}}"
92,Cluster drift Anomaly,1956,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.384, 'acceleration': 0.221}}"
93,Cluster drift Anomaly,1959,"{2: {'centroid': [-158.721, -238.425, 60.514, -157.935, -297.251], 'velocity': 1.344, 'acceleration': 0.231}}"
94,Cluster drift Anomaly,1960,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.671, 'acceleration': 0.186}}"
95,Cluster drift Anomaly,1963,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.823, 'acceleration': 0.284}}"
96,Cluster drift Anomaly,1975,"{1: {'centroid': [-874.579, -504.924, -630.163, 218.621, 260.492], 'velocity': 1.373, 'acceleration': 0.212}}"
